text,intent
How do I return an item,return_refund
How does refund work,return_refund
How long do I have to return,return_refund
How to request a return,return_refund
How to return a laptop,return_refund
I need a refund for this item,return_refund
I want to return my purchase,return_refund
I want to send this back,return_refund
Is there a money back guarantee,return_refund
Refund process for EasyPC,return_refund
Return policy details please,return_refund
Return this headset please,return_refund
What is your return policy,return_refund
What's your refund policy,return_refund
Are you open today,store_information
Branch location of EasyPC,store_information
Business hours for EasyPC,store_information
Contact information for the shop,store_information
Customer support contact,store_information
EasyPC One Oasis location,store_information
EasyPC store information,store_information
How can I contact the store,store_information
How do I reach EasyPC,store_information
How to visit your branch,store_information
Store address please,store_information
Store phone or email,store_information
Tell me about your store,store_information
What are your store details,store_information
What are your store hours,store_information
Where are you located,store_information
Where can I visit EasyPC,store_information
Where is EasyPC,store_information
Where is One Oasis branch,store_information
Where is your physical store,store_information
Book a flight for me,fallback
Book a flight to Japan,fallback
Can you hack a website,fallback
Cook me a recipe,fallback
Cook pasta for me,fallback
Do you believe in aliens,fallback
Hack a website,fallback
Help me with my homework in history,fallback
Play music from Spotify,fallback
Play some music,fallback
Predict lottery numbers,fallback
Predict stock prices tomorrow,fallback
Sing a song,fallback
Sing me a song,fallback
Solve my calculus homework entirely,fallback
Solve this math equation for fun,fallback
Tell me a joke,fallback
Tell me a joke about quantum physics,fallback
Tell me celebrity gossip,fallback
Tell me random trivia,fallback
Translate quantum physics into French,fallback
Translate this to French,fallback
What is quantum physics,fallback
What is the meaning of life,fallback
What is the weather in Mars,fallback
What is the weather today,fallback
What should I name my dog,fallback
What's your favorite movie,fallback
Who is dating who,fallback
Who is the president,fallback
Who will win the lottery,fallback
Who won the basketball game,fallback
Write a poem about cats,fallback
Write me a poem,fallback
do u have this,stock_inquiry
do you have this,stock_inquiry
do you still have this?,stock_inquiry
is this available?,stock_inquiry
Is this available?,stock_inquiry
is this in stock?,stock_inquiry
Is this item available?,stock_inquiry
Do you have any left?,stock_inquiry
Is the product currently in stock?,stock_inquiry
can i buy this now,stock_inquiry
Can I buy this now?,stock_inquiry
do you have RTX 4060,stock_inquiry
do u still have rtx 4060,stock_inquiry
got any left of this,stock_inquiry
how much?,product_price
How much?,product_price
how much is this,product_price
How much is this?,product_price
what's the price?,product_price
Whats the price,product_price
how much does this cost,product_price
How much does the RTX 4060 cost?,product_price
What's the cheapest SSD?,product_price
how much is this product,product_price
price please,product_price
Do you have a Ryzen 5?,product_search
I'm looking for a 1TB SSD.,product_search
Show me graphics cards.,product_search
What processors do you have?,product_search
Do you have RAM?,product_search
do you have ryzen 5,product_search
i need an ssd,product_search
looking for 1tb ssd,product_search
show me gpus,product_search
find me a motherboard,product_search
do u sell monitors,product_category
Do you sell gaming monitors?,product_category
Show me motherboards,product_category
what ram do you sell,product_category
Tell me about this product.,product_search
What are the specs?,product_search
What is this used for?,product_search
Can you give me more information about this?,product_search
What's included with this product?,product_search
tell me more about this,product_search
specs please,product_search
Will this RAM work with this motherboard?,compatibility_question
Is this GPU compatible with my build?,compatibility_question
Can I use this processor with this motherboard?,compatibility_question
Will this PSU be enough?,compatibility_question
Is this SSD compatible?,compatibility_question
will this work with my motherboard?,compatibility_question
can this work with my motherboard,compatibility_question
can I use this RAM?,compatibility_question
is this compatible with my build?,compatibility_question
will this fit my pc,compatibility_question
I want to build a PC.,product_recommendation
Help me build a PC.,product_recommendation
help me build a pc,product_recommendation
I need a computer for work.,product_recommendation
Can you help me choose components?,product_recommendation
What PC should I build?,product_recommendation
Help me find the right components.,product_recommendation
I don't know which parts to choose.,product_recommendation
what gpu should i get,product_recommendation
i need a pc for work,product_recommendation
help me choose a pc,product_recommendation
what do you recommend,product_recommendation
what components should I get?,product_recommendation
help me customize a build,product_recommendation
open tech and match,product_recommendation
try tech and match,product_recommendation
Show my saved builds.,saved_build
Where are my saved PCs?,saved_build
Can I see my saved build?,saved_build
I want to open my saved build.,saved_build
What PC builds did I save?,saved_build
show my saved builds,saved_build
where can i see my saved build,saved_build
where are my saved builds?,saved_build
open my saved build,saved_build
where can I find my saved PC?,saved_build
my saved builds please,saved_build
list my saved pc builds,saved_build
show saved build,saved_build
i want to view my saved builds,saved_build
load my saved build,saved_build
where is saved build,saved_build
check my saved builds,saved_build
see my pc builds i saved,saved_build
hey primo,greeting
Hey! Primo,greeting
good morning,greeting
good afternoon,greeting
yo,greeting
sup primo,greeting
hiya,greeting
hellooo,greeting
thanks,gratitude
thx,gratitude
ty,gratitude
thank u,gratitude
thanks a bunch,gratitude
bye,goodbye
goodbye,goodbye
see you later,goodbye
cya,goodbye
ttyl,goodbye
What can Primo do?,help
how do i use this chat,help
what can you do,help
