MSKU,"Product Description",Category,"Image Filename","Image Relative Path","Source URL","Source Type","Match Method","Match Confidence","Image Status","File Size Bytes",Notes
8581,"A wireless Bluetooth stereo headset with active noise cancellation designed for immersive and distraction-reduced listening. Its ivory finish provides a clean appearance for everyday entertainment and communication.",AUDIO,"Edifier W820NB Plus Active Noice Cancellation Bluetooth Stereo Wireless Headset Ivory.png","assets/products/Audio/Edifier W820NB Plus Active Noice Cancellation Bluetooth Stereo Wireless Headset Ivory.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/Edifier_W820NB_Plus_Active_Noise_Cancellation_Bluetooth_Stereo_Wireless_Headset_Ivory-c.png?v=1713336345,easypc,name,HIGH,DOWNLOADED,151637,"title=Edifier W820NB Plus Active Noise Cancellation Bluetooth Stereo Wireless Headset Ivory; token_ratio=0.91; saved 1000x1000 PNG"
10952,"A professional headset designed for communication and voice-focused applications. It is suitable for office calls, customer service, online meetings, and other business communication tasks.",AUDIO,"EPOS Sennheiser Impact SC 260 ED Headset.png","assets/products/Audio/EPOS Sennheiser Impact SC 260 ED Headset.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10952-a.png?v=1770346527,easypc,name,HIGH,DOWNLOADED,120243,"title=EPOS Sennheiser Impact SC 260 ED Headset; exact/near title; saved 1000x1000 PNG"
10991,"A wired gaming headset designed for immersive gaming audio with 7.1-channel surround sound. It is suitable for competitive gaming, voice communication, and multimedia entertainment.",AUDIO,"Logitech G PRO X Wired 7.1 Gaming Headset.png","assets/products/Audio/Logitech G PRO X Wired 7.1 Gaming Headset.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10991-a.png?v=1770595100,easypc,name,HIGH,DOWNLOADED,414152,"title=Logitech G PRO X Wired 7.1 Gaming Headset; exact/near title; saved 1000x1000 PNG"
10993,"A League of Legends-themed version of the Logitech G PRO X wired gaming headset with 7.1 surround sound. It is designed for gaming and communication while offering a special-edition aesthetic for fans.",AUDIO,"Logitech G PRO X Wired 7.1 Gaming Headset (League of Legends Edition).png","assets/products/Audio/Logitech G PRO X Wired 7.1 Gaming Headset (League of Legends Edition).png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10991-a.png?v=1770595100,easypc,name,HIGH,DOWNLOADED,414152,"title=Logitech G PRO X Wired 7.1 Gaming Headset; exact/near title; saved 1000x1000 PNG"
10653,"A USB gaming headset featuring LED illumination for a distinctive gaming setup. It is designed for gaming audio and voice communication through a convenient USB connection.",AUDIO,"RAKK Matik USB Gaming Headset LED Illuminated.png","assets/products/Audio/RAKK Matik USB Gaming Headset LED Illuminated.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10653-a.png?v=1763436350,easypc,msku,HIGH,DOWNLOADED,426133,"title=RAKK Matik USB Gaming Headset - LED Illuminated Wired Gaming Headphones Philippines; exact/near title; saved 1000x1000 PNG"
7652,"A black USB gaming headset with virtual 7.1 surround sound and RGB lighting. It is designed to provide immersive gaming audio while adding customizable-looking illumination to a PC setup.",AUDIO,"RAKK SONIDO 7.1 Virtual Surround RGB Gaming Headset USB Black.jpg","assets/products/Audio/RAKK SONIDO 7.1 Virtual Surround RGB Gaming Headset USB Black.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/RAKK_SONIDO-a.png?v=1697775017,easypc,msku,HIGH,DOWNLOADED,46230,"title=RAKK SONIDO 7.1 Virtual Surround RGB Gaming Headset USB Black; exact/near title; saved 1000x1000 PNG"
11134,"A DisplayPort-to-VGA converter designed to connect a DisplayPort-equipped computer to a VGA display. It is useful for connecting modern PCs to compatible older monitors or projectors.","CABLES AND ADAPTERS",,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
11140,"A 10-meter HDMI cable designed to transmit compatible digital video and audio signals between HDMI devices. Its extended length is useful for setups where the display is positioned farther from the source device.","CABLES AND ADAPTERS",,,https://cdn.shopify.com/s/files/1/0101/4864/2879/products/Ad-link10MetersBluemeshPureCopperHighQualityHDMICable-a.jpg?v=1629739545,easypc,name_short,LOW,MATCH_UNCERTAIN,0,"title=Ad-link 10 Meters Bluemesh Pure Copper High Quality HDMI Cable; weak match ratio=0.62 hits=5/8"
11143,"A 1.5-meter VGA cable designed for connecting compatible computers and VGA displays. It provides a practical solution for traditional analog video connections.","CABLES AND ADAPTERS",,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
11144,"A 3-meter VGA cable designed to connect compatible computers, monitors, and other VGA-equipped displays. Its longer length provides additional flexibility for desktop and presentation setups.","CABLES AND ADAPTERS",,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
7824,"An infrared dome surveillance camera designed for security monitoring applications. Its dome-style design and IR capability make it suitable for indoor or other compatible surveillance installations.",CAMERA,,,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/Hikvision_HWI-D121H_Dome_Camera-a.jpg?v=1695366018,easypc,name,LOW,MATCH_UNCERTAIN,0,"title=Hikvision HWI-D121H IPC 2MP HiWatch 2.8MM Network DOME Camera; weak match ratio=0.55 hits=6/11"
78,"A black USB keyboard and mouse combo providing essential input devices for desktop computers. It is suitable for everyday typing, navigation, office work, and general computing.",COMBO,"A4Tech KRS-8572 Usb Keyboard and Mouse Black.jpg","assets/products/Others/A4Tech KRS-8572 Usb Keyboard and Mouse Black.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/products/A4Tech_KRS-8572_Usb_Keyboard_and_Mouse-a.jpg?v=1699409136,easypc,name,HIGH,DOWNLOADED,39058,"title=A4Tech KRS-8572 Usb Keyboard and Mouse Black; exact/near title; saved 1000x1000 JPEG"
9301,"A black keyboard and mouse combo featuring membrane keys and rainbow lighting. It provides an affordable illuminated setup for everyday computing and gaming.",COMBO,"RAKK APTAS ILLUMINATED Membrane Keyboard and Mouse No software Rainbow lighting Black.png","assets/products/Others/RAKK APTAS ILLUMINATED Membrane Keyboard and Mouse No software Rainbow lighting Black.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/RAKK_APTAS_ILLUMINATED_Membrane_Keyboard_and_Mouse_No_software_Rainbow_lighting_Black-a.png?v=1727165777,easypc,name,HIGH,DOWNLOADED,327320,"title=RAKK APTAS ILLUMINATED / Membrane Keyboard and Mouse / No software / Rainbow lighting / Black; exact/near title; saved 1000x1000 PNG"
7,"An AMD stock heatsink and fan designed to cool compatible AMD processors. It helps dissipate processor heat and maintain appropriate operating temperatures during normal workloads.",COOLING,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
11005,"A black 120mm-class ARGB PWM chassis fan designed to improve airflow inside a desktop PC. PWM control allows compatible systems to regulate fan speed according to cooling requirements.",COOLING,,,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/artboard-1-2_15169487-f9b5-4a88-97de-6c3465f56cad.png?v=1763942007,easypc,name,LOW,MATCH_UNCERTAIN,0,"title=Jungle Leopard Interstellar V4 DGT Single Fan ARGB Chassis Fan White; weak match ratio=0.57 hits=4/7"
10990,"A 120mm high-speed chassis fan designed for strong airflow with PWM speed control. It is suitable for users looking for effective PC cooling while maintaining controlled fan operation.",COOLING,"BeQuiet Silent Wings 4 (BL094) 120mm PWM High Speed Single Chassis Fan Black.jpg","assets/products/Cooling/BeQuiet Silent Wings 4 (BL094) 120mm PWM High Speed Single Chassis Fan Black.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/products/4404-a_875f433f-dd0d-49eb-ba73-6def96a2c72a.jpg?v=1639382812,easypc,name,HIGH,DOWNLOADED,63318,"title=BeQuiet SILENT WINGS 3 120mm and 140mm PWM high-speed Fluid Dynamic Chassis Fan Black; token_ratio=0.75; saved 1000x1000 JPEG"
10839,"A black CPU air cooler featuring 3DHP cooling technology and ARGB lighting. It is designed to dissipate processor heat while adding illuminated styling to compatible desktop builds.",COOLING,"CoolerMaster Hyper 212 3DHP ARGB CPU Air Cooler Black.png","assets/products/Cooling/CoolerMaster Hyper 212 3DHP ARGB CPU Air Cooler Black.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10839-a_b7eb0351-a43c-4ac9-bdac-cdcbece7de45.png?v=1771009195,easypc,name,HIGH,DOWNLOADED,180308,"title=CoolerMaster Hyper 212 3DHP ARGB CPU Air Cooler Black; exact/near title; saved 1000x1000 PNG"
10930,"A 240mm liquid CPU cooling system designed to efficiently manage processor temperatures. Its black design fits a wide range of gaming and performance-oriented desktop builds.",COOLING,"CoolerMaster MasterLiquid 240L Core Liquid Cooling Black.png","assets/products/Cooling/CoolerMaster MasterLiquid 240L Core Liquid Cooling Black.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10930-a.png?v=1772409941,easypc,name,HIGH,DOWNLOADED,236912,"title=CoolerMaster MasterLiquid 240L Core Liquid Cooling Black; exact/near title; saved 1000x1000 PNG"
11216,"A 360mm ARGB liquid CPU cooler designed for high-performance processor cooling. It combines a large radiator with illuminated styling for demanding gaming and workstation systems.",COOLING,,,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/COOLERMASTERMASTERLIQUIDPL360-c.png?v=1692245518,easypc,name,LOW,MATCH_UNCERTAIN,0,"title=COOLERMASTER MASTERLIQUID PL360 FLUX ARGB Liquid Cooler (MLY-D36M-A23PZ-R1); weak match ratio=0.56 hits=5/9"
10966,"A black CPU air cooler using 3DHP cooling technology to dissipate processor heat. It is designed for compatible desktop systems requiring effective air-based CPU cooling.",COOLING,"CoolerMaster V4 Alpha 3DHP CPU Air Cooler Black.png","assets/products/Cooling/CoolerMaster V4 Alpha 3DHP CPU Air Cooler Black.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10966.png?v=1774308083,easypc,name,HIGH,DOWNLOADED,251253,"title=CoolerMaster V4 Alpha 3DHP CPU Air Cooler Black; exact/near title; saved 1000x1000 PNG"
7501,"A black ARGB chassis fan designed to improve airflow while adding illuminated styling to a desktop PC. It can be installed as part of a customized cooling configuration.",COOLING,"DarkFlash DM12 F Single ARGB Chassis Fan Black.jpg","assets/products/Cooling/DarkFlash DM12 F Single ARGB Chassis Fan Black.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/DarkFlashDM12FWhite-a.png?v=1695634007,easypc,name,HIGH,DOWNLOADED,68243,"title=DarkFlash DM12 F 3in1 with Controller Remote ARGB Chassis Fan White; token_ratio=0.83; saved 1000x1000 PNG"
7502,"A white ARGB chassis fan designed to improve internal PC airflow and provide decorative lighting. It is suitable for customized gaming and desktop builds.",COOLING,"DarkFlash DM12 F Single ARGB Chassis Fan White.jpg","assets/products/Cooling/DarkFlash DM12 F Single ARGB Chassis Fan White.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/DarkFlashDM12FWhite-a.png?v=1695634007,easypc,name,HIGH,DOWNLOADED,68243,"title=DarkFlash DM12 F 3in1 with Controller Remote ARGB Chassis Fan White; token_ratio=0.83; saved 1000x1000 PNG"
10858,"A white CPU air cooler featuring a matrix display and cooling-focused design. It provides processor heat dissipation while adding a distinctive visual element to compatible PC builds.",COOLING,"DarkFlash E400 Plus Matrix Display CPU Air Cooler White.png","assets/products/Cooling/DarkFlash E400 Plus Matrix Display CPU Air Cooler White.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10585.png?v=1774308058,easypc,name,HIGH,DOWNLOADED,405210,"title=DarkFlash E400 Plus Matrix Display CPU Air Cooler White; exact/near title; saved 1000x1000 PNG"
10370,"A three-fan ARGB chassis fan set designed to improve airflow throughout a desktop PC. The black design and lighting make it suitable for gaming-oriented custom builds.",COOLING,"DarkFlash Infinity 34 3in1 ARGB Chassis Fan Black.png","assets/products/Cooling/DarkFlash Infinity 34 3in1 ARGB Chassis Fan Black.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/INF34_ARGB_Case_Fan_with_Daisy-Chain_Design.png?v=1765267902,easypc,msku,HIGH,DOWNLOADED,943850,"title=DarkFlash Infinity 34 3in1 ARGB Fan Black; token_ratio=0.86; saved 1600x1600 PNG"
10373,"A white ARGB chassis fan designed to provide additional airflow for compatible PC cases. Its lighting also adds a decorative element to customized systems.",COOLING,,,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/artboard-1-2_15169487-f9b5-4a88-97de-6c3465f56cad.png?v=1763942007,easypc,name,LOW,MATCH_UNCERTAIN,0,"title=Jungle Leopard Interstellar V4 DGT Single Fan ARGB Chassis Fan White; weak match ratio=0.57 hits=4/7"
7505,"A black ARGB chassis fan designed to improve airflow and assist with internal PC temperature management. It is suitable for gaming and custom desktop configurations.",COOLING,"DarkFlash Infinity24 Single ARGB Chassis Fan Black.jpg","assets/products/Cooling/DarkFlash Infinity24 Single ARGB Chassis Fan Black.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/DarkFlashInfinity243in1White-a.png?v=1695634246,easypc,name,HIGH,DOWNLOADED,74506,"title=DarkFlash Infinity24 3in1 with Controller Remote ARGB Chassis Fan White; token_ratio=0.83; saved 1000x1000 PNG"
6174,"A CPU air cooler designed to transfer heat away from a compatible processor. It provides a practical cooling solution for desktop computers using supported CPU platforms.",COOLING,"Deepcool TW-003 CPU Air Cooler.jpg","assets/products/Cooling/Deepcool TW-003 CPU Air Cooler.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/products/Deepcool_TW-003_Hydro_Bearing_CPU_Air_Cooler-a.jpg?v=1704769450,easypc,name,HIGH,DOWNLOADED,58319,"title=Deepcool TW-003 Hydro Bearing CPU Air Cooler; token_ratio=1.00; saved 1000x1000 JPEG"
11159,"A black 360mm ARGB liquid cooling system designed for effective processor heat dissipation. Its large radiator and illuminated design make it suitable for performance and gaming builds.",COOLING,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
11160,"A white 360mm ARGB liquid CPU cooler designed for efficient processor cooling. It combines high-capacity cooling with a clean appearance for customized PC builds.",COOLING,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
10386,"A black MSI MAG CPU air cooler with ARGB lighting designed to dissipate processor heat. It is suitable for gaming and desktop systems using compatible processor sockets.",COOLING,"MSI MAG COREFROZR AA13 ARGB CPU Air Cooler black.png","assets/products/Cooling/MSI MAG COREFROZR AA13 ARGB CPU Air Cooler black.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10641-a.png?v=1772409882,easypc,name,HIGH,DOWNLOADED,239203,"title=MSI MAG COREFROZR AA13 ARGB CPU Air Cooler White; token_ratio=1.00; saved 1000x1000 PNG"
9737,"A black 240mm MSI MAG liquid CPU cooler designed to provide efficient processor cooling. Its compact radiator size makes it suitable for many gaming and performance PC builds.",COOLING,"MSI MAG Coreliquid A13 240 CPU Liquid Cooler Black.jpg","assets/products/Cooling/MSI MAG Coreliquid A13 240 CPU Liquid Cooler Black.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/MSIMAGCoreliquidA13240CPULiquidCoolerBlack_2.png?v=1736924796,easypc,name,HIGH,DOWNLOADED,74743,"title=MSI MAG Coreliquid A13 240 CPU Liquid Cooler Black; exact/near title; saved 1000x1000 PNG"
9835,"A black 360mm MSI MAG liquid CPU cooler designed for higher-capacity processor cooling. It is suitable for performance-oriented systems where effective thermal management is important.",COOLING,"MSI MAG Coreliquid A13 360 CPU Liquid Cooler Black.jpg","assets/products/Cooling/MSI MAG Coreliquid A13 360 CPU Liquid Cooler Black.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/MSIMAGCoreliquidA13240CPULiquidCoolerBlack_2.png?v=1736924796,easypc,name,HIGH,DOWNLOADED,74743,"title=MSI MAG Coreliquid A13 240 CPU Liquid Cooler Black; token_ratio=0.88; saved 1000x1000 PNG"
9836,"A white 360mm MSI MAG liquid CPU cooler designed for efficient processor heat management. Its white finish makes it particularly suitable for clean or white-themed custom PC builds.",COOLING,"MSI MAG Coreliquid A13 360 CPU Liquid Cooler White.jpg","assets/products/Cooling/MSI MAG Coreliquid A13 360 CPU Liquid Cooler White.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/MSIMAGCoreliquidA13240CPULiquidCoolerBlack_2.png?v=1736924796,easypc,name,HIGH,DOWNLOADED,74743,"title=MSI MAG Coreliquid A13 240 CPU Liquid Cooler Black; token_ratio=0.88; saved 1000x1000 PNG"
10743,"A triple-pack of white 120mm RGB chassis fans with an RGB controller. The set is designed to improve case airflow while providing coordinated lighting for customized PC builds.",COOLING,"NZXT F120 RGB Duo Triple Pack (RF-D12TF-W1) with RGB Controller Chassis Fan White.jpg","assets/products/Cooling/NZXT F120 RGB Duo Triple Pack (RF-D12TF-W1) with RGB Controller Chassis Fan White.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/AG1PD2301241ECMUZF7.webp?v=1765953474,easypc,name,HIGH,DOWNLOADED,29711,"title=NZXT F120 RGB Duo Triple Pack (RF-D12TF-W1) with RGB Controller Chassis Fan White; exact/near title; saved 640x406 JPEG"
10590,"A three-fan ARGB chassis cooling set designed to improve airflow inside a desktop PC. Its black styling and illuminated fans are suitable for gaming and customized builds.",COOLING,"YGT Cyber-120IFB 3in1 ARGB Chassis Fan Black.jpg","assets/products/Cooling/YGT Cyber-120IFB 3in1 ARGB Chassis Fan Black.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/cyber-120ifb-box-fan.png?v=1775796742,easypc,name,HIGH,DOWNLOADED,69411,"title=YGT Cyber-120IFB 3in1 ARGB Fan Black; token_ratio=0.86; saved 720x720 PNG"
8150,"An Outemu Purple mechanical keyboard switch with a white base designed for compatible mechanical keyboards. It can be used as a replacement or customization component for keyboard builds.",CUSTOMIZATION,"Redragon Standard Switch (WHITE BASE) Outemu Purple Switch.png","assets/products/Others/Redragon Standard Switch (WHITE BASE) Outemu Purple Switch.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/Redragon_Standard_Switch_WHITE_BASE_Outemu_Purple_Switch-a.png?v=1713154884,easypc,name,HIGH,DOWNLOADED,243836,"title=Redragon Standard Switch (WHITE BASE) Outemu Purple Switch; exact/near title; saved 1000x1000 PNG"
11074,"A 23.8-inch Full HD IPS monitor with a 144Hz refresh rate designed for smooth everyday computing and gaming. Its high refresh rate provides more fluid motion than standard 60Hz displays.",DISPLAY,"AOC 24B36XE 23.8 FHD 144Hz IPS Monitor.jpg","assets/products/Display/AOC 24B36XE 23.8 FHD 144Hz IPS Monitor.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/11127.jpg?v=1776044902,easypc,name,HIGH,DOWNLOADED,51058,"title=Nvision N2455GT-B 23.8"" FHD 144Hz IPS Monitor; token_ratio=0.75; saved 1600x900 JPEG"
10836,"A 23.8-inch Full HD Fast IPS gaming monitor featuring a 240Hz overclocked refresh rate. It is designed for fast-paced gaming where smooth motion and responsive visuals are important.",DISPLAY,"AOC 24G11ZE 23.8 240Hz OC FHD Fast IPS Monitor.png","assets/products/Display/AOC 24G11ZE 23.8 240Hz OC FHD Fast IPS Monitor.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10836-a.png?v=1768440986,easypc,name,HIGH,DOWNLOADED,558105,"title=AOC 24G11ZE 23.8"" 240Hz OC FHD Fast IPS Gaming Monitor; token_ratio=1.00; saved 1000x1000 PNG"
11258,"A 27-inch QHD Fast IPS monitor with a 320Hz refresh rate and HDR 400 support. It is designed for competitive gaming and detailed multimedia viewing with smooth high-speed visuals.",DISPLAY,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
10540,"A 27-inch QHD Fast IPS gaming monitor with up to a 255Hz overclocked refresh rate. It is designed for high-performance gaming with detailed resolution and fluid motion.",DISPLAY,"ASUS ROG Strix XG27ACMES 27 QHD 255Hz-OC Fast IPS Monitor.png","assets/products/Display/ASUS ROG Strix XG27ACMES 27 QHD 255Hz-OC Fast IPS Monitor.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/3846C50D-3CA6-45F9-B88C-9F06A2980903.png?v=1763450838,easypc,name,HIGH,DOWNLOADED,2528840,"title=ASUS ROG Strix XG27ACMES 27"" QHD 255Hz-OC Fast IPS Monitor; exact/near title; saved 2400x2400 PNG"
10711,"A 24.5-inch Full HD Fast IPS gaming monitor supporting up to 310Hz overclocked refresh. It is designed for competitive gaming where fast motion and responsive display performance are important.",DISPLAY,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
11473,"A 24.5-inch Full HD IPS gaming monitor with a 240Hz refresh rate. It is designed to provide smooth motion and responsive visuals for fast-paced gaming.",DISPLAY,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
11208,"A black 23.8-inch Full HD Fast IPS gaming monitor with a 240Hz refresh rate. It is designed for smooth, responsive gaming and everyday multimedia use.",DISPLAY,"Gamdias Atlas HD24IF IV 23.8 240Hz FHD Fast IPS Monitor Black.png","assets/products/Display/Gamdias Atlas HD24IF IV 23.8 240Hz FHD Fast IPS Monitor Black.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/11208.png?v=1775530453,easypc,name,HIGH,DOWNLOADED,134353,"title=Gamdias Atlas HD24IF IV 23.8"" 240Hz FHD Fast IPS Monitor Black; exact/near title; saved 1000x1000 PNG"
11528,"A 23.8-inch Full HD IPS monitor with a 120Hz refresh rate designed for smooth everyday computing. It is suitable for office work, entertainment, study, and casual gaming.",DISPLAY,"LG 24U411A-B 23.8 120Hz FHD IPS Monitor.jpg","assets/products/Display/LG 24U411A-B 23.8 120Hz FHD IPS Monitor.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/11528-a.jpg?v=1781547349,easypc,name,HIGH,DOWNLOADED,133979,"title=LG 24U411A-B 23.8"" 120Hz FHD IPS Monitor; exact/near title; saved 2010x1334 JPEG"
10940,"A 23.8-inch Full HD Rapid IPS gaming monitor with a 240Hz refresh rate. It is designed for fluid motion and responsive gameplay while retaining the benefits of IPS display technology.",DISPLAY,"MSI MAG 245F X24 23.8 240Hz FHD Rapid IPS Monitor.png","assets/products/Display/MSI MAG 245F X24 23.8 240Hz FHD Rapid IPS Monitor.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10940-a.png?v=1770346347,easypc,name,HIGH,DOWNLOADED,424491,"title=MSI MAG 245F X24 23.8"" 240Hz FHD Rapid IPS Monitor; exact/near title; saved 1000x1000 PNG"
10941,"A 27-inch Full HD Rapid IPS monitor with a 240Hz refresh rate designed for smooth gaming and multimedia. Its larger display area provides an immersive viewing experience.",DISPLAY,"MSI MAG 272F X24 27 240Hz FHD Rapid IPS Monitor.png","assets/products/Display/MSI MAG 272F X24 27 240Hz FHD Rapid IPS Monitor.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/10941-a.png?v=1770346407,easypc,name,HIGH,DOWNLOADED,472960,"title=MSI MAG 272F X24 27"" 240Hz FHD Rapid IPS Monitor; exact/near title; saved 1000x1000 PNG"
11151,"A 27-inch WQHD Rapid IPS monitor with a 200Hz refresh rate. It combines detailed resolution with high refresh performance for gaming, productivity, and multimedia use.",DISPLAY,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
11472,"A 24.5-inch Full HD IPS monitor with a 144Hz refresh rate designed for smooth and comfortable everyday use. It is suitable for office work, study, entertainment, and gaming.",DISPLAY,"MSI PRO MP251 E14L 24.5 144HZ FHD IPS Monitor.png","assets/products/Display/MSI PRO MP251 E14L 24.5 144HZ FHD IPS Monitor.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/11472-a.png?v=1781547259,easypc,name,HIGH,DOWNLOADED,757682,"title=MSI PRO MP251 E14L 24.5"" 144HZ FHD IPS Monitor; exact/near title; saved 1000x1000 PNG"
8060,"A 21.5-inch LED monitor designed for everyday computer use. Its compact display size makes it suitable for office work, school activities, browsing, and basic multimedia.",DISPLAY,"Nvision H22V8 21.5 LED Monitor.png","assets/products/Display/Nvision H22V8 21.5 LED Monitor.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/Nvision_H22V8_21.5_LED_Monitor-a.png?v=1704950415,easypc,name,HIGH,DOWNLOADED,259393,"title=Nvision H22V8 21.5"" LED Monitor; exact/near title; saved 1000x1000 PNG"
