MSKU,Product Name,Product Description,Category,Product/Warranty Type,Product/Sales Price,Quantity On Hand,Image Status,Source URL,Notes
130,Tp-Link TL-WA901ND Wireless N Access Point,"A Wireless N access point designed to extend or provide wireless network connectivity. It can be used to improve Wi-Fi coverage in compatible home, office, and small-network environments.",NETWORK DEVICE,1 YR WTY.,1894,2,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/products/Tp-Link_AC1200_Wireless_MU-MIMO_Gigabit-a.jpg?v=1700782093,title=Tp-Link AC1200 Wireless MU-MIMO Gigabit Indoor/Outdoor Access Point EAP225; weak match ratio=0.71 hits=5/7
10972,Asus A31 Tempered Glass Mid Tower ATX PC Case White,A white ATX mid-tower PC case with a tempered-glass panel designed for custom desktop builds. Its larger chassis provides room for compatible components and cooling hardware.,PC CASE,1 MON WTY.,3400,1,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/4a2d5d894208ef5b475a9fbec4d89ec5.png?v=1783661549,title=Asus A21 Tempered Glass Micro ATX PC Case Black; weak match ratio=0.62 hits=5/8
11406,Cougar MX110 RGB Mid Tower Tempered Glass ATX PC Case Black,"A black ATX mid-tower PC case with RGB lighting and a tempered-glass panel. It is designed for gaming builds that require a balance of component space, airflow, and visual customization.",PC CASE,1 MON WTY.,2350,1,NOT_FOUND,,no confident EasyPC match
10828,DarkFlash Floatron F1 Micro ATX PC Case Black & White,A black-and-white Micro ATX PC case designed for compact desktop builds. Its two-tone design provides a distinctive appearance while housing compatible PC components.,PC CASE,1 MON WTY.,3995,1,NOT_FOUND,,no confident EasyPC match
11068,DarkFlash M305 with 3 RGB Fan Micro ATX Tempered Glass Gaming PC Case Black,A black Micro ATX gaming case with tempered glass and three RGB fans included. It provides a compact platform for gaming builds while combining airflow and illuminated styling.,PC CASE,1 YR WTY.,1395,5,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/11147-a.png?v=1776907632,title=Antec VX100M Tempered Glass Side Panel w/ 3 RGB Fans Micro ATX PC Case Black; weak match ratio=0.60 hits=6/10
11306,Gamdias Aura GC10 v2 ARGB Dual Chamber Micro ATX PC Case Black,A black dual-chamber Micro ATX PC case with ARGB support designed for organized component installation. Its dual-chamber layout helps separate system components and cabling for a cleaner build.,PC CASE,1 MON WTY.,2495,1,NOT_FOUND,,no confident EasyPC match
6579,InPlay Wind 01 Acrylic Side Panel Micro ATX PC Case,A Micro ATX PC case featuring an acrylic side panel for viewing internal components. It is designed for compact desktop builds and provides a practical chassis for compatible hardware.,PC CASE,NO WTY.,0,1,NOT_FOUND,,Matched Wind 05 and Wind 01 combo listing; CSV is Wind 01 only
10146,MSI PANO 110R PZ Mid Tower Gaming PC Case Black,"A black MSI PANO 110R PZ mid-tower gaming case designed for larger custom desktop builds. Its mid-tower format provides room for compatible components, cooling, and cable management.",PC CASE,1 WK WTY.,4200,1,NOT_FOUND,,Matched White case; CSV is Black
11546,YGT 420B Micro ATX PC Case Black,"A black Micro ATX PC case designed to house compatible desktop components. Its compact form factor makes it suitable for space-efficient office, home, or gaming builds.",PC CASE,1 MON WTY.,1250,1,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/9973-a.png?v=1776907589,title=MSI MAG PANO 100R Project Zero Micro ATX PC Case Black; weak match ratio=0.60 hits=3/5
11102,YGT Mars 9 Micro ATX PC Case with PSU Black,A black Micro ATX PC case supplied with a power supply. It provides a convenient chassis solution for building a compact desktop system with compatible components.,PC CASE,1 YR WTY.,795,3,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/Keytech_T-100_black_a.jpg?v=1689059793,title=Keytech T-100 Tempered Glass Micro ATX Gaming PC Case Black (With PSU); weak match ratio=0.57 hits=4/7
10376,ASRock Pro-650B 650W 80+ Bronze Non-Modular ATX 3.1 Power Supply,A 650W ATX 3.1 power supply with 80+ Bronze efficiency and a non-modular design. It is designed to provide dependable power for compatible modern desktop systems.,POWER SUPPLY,1 YR WTY.,2650,3,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/9703-a.png?v=1772409864,title=CoolerMaster MWE 650W V3 (MPE-6501-ACABW-3BUS) 80+ Bronze ATX 3.1 Power Supply; weak match ratio=0.62 hits=8/13
10679,ASRock Steel Legend SL-1000G 1000W 80+ Gold Cybenetics Gold ATX 3.1 Full Modular Power Supply,A 1000W fully modular ATX 3.1 power supply with 80+ Gold and Cybenetics Gold efficiency ratings. It is designed for high-performance desktop builds with demanding power requirements.,POWER SUPPLY,1 YR WTY.,9450,1,NOT_FOUND,,no confident EasyPC match
10208,Asus Prime AP-850W 80+ Gold Full Modular Power Supply,An 850W ASUS Prime fully modular power supply with an 80+ Gold efficiency rating. It is suitable for performance-oriented desktop systems and allows flexible cable management.,POWER SUPPLY,1 YR WTY.,7495,2,NOT_FOUND,,no confident EasyPC match
11598,Epson L3310 Multi Functional Integrated Ink Tank Printer,"A multifunction integrated ink-tank printer designed for printing and other common document-handling tasks. It is suitable for home, school, and office users who need a practical high-volume printing solution.",PRINTER AND SCANNER,1 YR WTY.,9050,3,NOT_FOUND,,Matched Epson L3210; CSV is L3310
11599,Epson L3350 Wi-Fi Multi Functional Integrated Ink Tank Printer,A multifunction ink-tank printer with Wi-Fi connectivity designed for convenient printing and document handling. Wireless connectivity allows compatible devices to print without requiring a direct wired connection.,PRINTER AND SCANNER,1 YR WTY.,10530,3,NOT_FOUND,,Matched Epson L3250; CSV is L3350
11064,AMD Ryzen 5 3400g 3.7ghz AM4 Socket DDR4 Processor MPK,An AMD Ryzen 5 3400G processor using the AM4 socket with a 3.7GHz listed clock speed and DDR4 platform support. Its integrated graphics make it suitable for compatible desktops without a dedicated GPU.,PROCESSOR,EASYFIX WTY.,3795,15,NOT_FOUND,,no confident EasyPC match
9776,AMD Ryzen 5 5600GT 3.6GHz AM4 Socket DDR4 Processor MPK,An AMD Ryzen 5 5600GT processor using the AM4 socket and DDR4 memory platform with a 3.6GHz listed clock speed. It is designed for compatible desktops requiring capable everyday and gaming performance.,PROCESSOR,EASYFIX WTY.,9195,3,NOT_FOUND,,no confident EasyPC match
11065,AMD Ryzen 7 8700F 4.1ghz AM5 Socket DDR5 Processor MPK,An AMD Ryzen 7 8700F processor using the AM5 socket and DDR5 memory with a 4.1GHz listed clock speed. It is designed for modern performance desktop systems paired with compatible dedicated graphics.,PROCESSOR,EASYFIX WTY.,9450,2,NOT_FOUND,,no confident EasyPC match
11384,SDISC-WEEKEND-PROMODEALS-1355OFF,"A weekend promotional discount item representing a ₱1,355-off offer. It is intended to apply the listed promotional discount to an eligible purchase.",PROMOTIONAL,,-1355,1,NOT_FOUND,,no confident EasyPC match
11372,SDISC-WEEKEND-PROMODEALS-2155OFF,"A weekend promotional discount item representing a ₱2,155-off offer. It is intended to provide the listed discount when applied to an eligible promotional purchase.",PROMOTIONAL,,-2155,1,NOT_FOUND,,no confident EasyPC match
11386,SDISC-WEEKEND-PROMODEALS-275OFF,A weekend promotional discount item representing a ₱275-off offer. It is intended for qualifying purchases included in the store's weekend promotion.,PROMOTIONAL,,-275,1,NOT_FOUND,,no confident EasyPC match
11381,SDISC-WEEKEND-PROMODEALS-390OFF,A weekend promotional discount item representing a ₱390-off offer. It is intended to reduce the purchase price of eligible products during the promotion.,PROMOTIONAL,,-390,1,NOT_FOUND,,no confident EasyPC match
11382,SDISC-WEEKEND-PROMODEALS-400OFF,A weekend promotional discount item representing a ₱400-off offer. It is intended for eligible products covered by the store's weekend promotional campaign.,PROMOTIONAL,,-400,1,NOT_FOUND,,no confident EasyPC match
11390,SDISC-WEEKEND-PROMODEALS-550OFF,A weekend promotional discount item representing a ₱550-off offer. It provides a promotional price reduction when applied to an eligible purchase.,PROMOTIONAL,,-550,1,NOT_FOUND,,no confident EasyPC match
11391,SDISC-WEEKEND-PROMODEALS-705OFF,A weekend promotional discount item representing a ₱705-off offer. It is intended to provide a discount on qualifying products during the weekend promotion.,PROMOTIONAL,1 YR WTY.,-705,1,NOT_FOUND,,no confident EasyPC match
10069,TP-Link VIGI NVR1008H VIGI 8 Channel Network Video Recorder,"An 8-channel network video recorder designed to manage and record surveillance footage from compatible IP cameras. It is suitable for homes, offices, and small business security installations requiring centralized video recording.",RECORDER,1 YR WTY.,2050,1,NOT_FOUND,,no confident EasyPC match
11392,Eco Bag for Desktop Black,"A reusable black eco bag designed for carrying desktop computer products, accessories, and other purchases. It provides a practical packaging and carrying solution for customers.",SERVICES,,0,10,NOT_FOUND,,no confident EasyPC match
11402,Eco Bag for Desktop White,A reusable white eco bag designed for carrying desktop computer products and accessories. It offers a convenient and presentable way to package store purchases.,SERVICES,,0,84,NOT_FOUND,,no confident EasyPC match
11577,Apacer AS2280P4 512GB PCIe Gen 3x4 M.2 NVMe Solid State Drive,A 512GB M.2 NVMe SSD using PCIe Gen 3x4 connectivity for responsive storage performance. Its compact design makes it suitable for compatible laptops and desktop PCs.,SOLID STATE DRIVE,1 YR WTY.,5295,11,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/11100-a.png?v=1778105140,title=Hiksemi Wave P 512GB PCIe Gen3 M.2 Solid State Drive; weak match ratio=0.60 hits=6/10
11148,Teamgroup T-Force GA Pro 1TB NVMe M.2 Gen 5 Solid State Drive,"A 1TB M.2 NVMe SSD using PCIe Gen 5 technology for high-speed storage performance. It is designed for demanding gaming, content creation, applications, and large-file workloads.",SOLID STATE DRIVE,1 YR WTY.,10850,4,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/KingstonNV31TBPCIe4.0M.2NVMESolidStateDrive_2.png?v=1732689334,title=Kingston NV3 1TB PCIe 4.0 M.2 NVME Solid State Drive; weak match ratio=0.55 hits=6/11
454,Secure 650va Ups,A 650VA uninterruptible power supply designed to provide backup power for compatible electronic equipment. It can help maintain operation during short power interruptions and provide basic power protection.,UPS & AVR,1 YR WTY.,1450,10,DOWNLOAD_FAILED,,"PHP failed: upsert C:\xampp\htdocs\TechPrime-AI\TechPrime-AI\scripts\_tmp_product.json
PHP Fatal error:  Uncaught PDOException: SQLSTATE[26000]: Invalid sql statement name: 7 ERROR:  prepared statement ""pdo_stmt_00000001"" does not exist in C:\xampp\htdocs\TechPrime-AI\TechPrime-AI\scripts\catalog_db.php:22
Stack trace:
#0 C:\xampp\htdocs\TechPrime-AI\TechPrime-AI\scripts\catalog_db.php(22): PDOStatement->execute(Array)
#1 C:\xampp\htdocs\TechPrime-AI\TechPrime-AI\scripts\catalog_db.php(67): has_column(Object(PDO), 'sku')
#2 {main}
  thrown in C:\xampp\htdocs\TechPrime-AI\TechPrime-AI\scripts\catalog_db.php on line 22


Fatal error: Uncaught PDOException: SQLSTATE[26000]: Invalid sql statement name: 7 ERROR:  prepared statement ""pdo_stmt_00000001"" does not exist in C:\xampp\htdocs\TechPrime-AI\TechPrime-AI\scripts\catalog_db.php:22
Stack trace:
#0 C:\xampp\htdocs\TechPrime-AI\TechPrime-AI\scripts\catalog_db.php(22): PDOStatement->execute(Array)
#1 C:\xampp\htdocs\TechPrime-AI\TechPrime-AI\scripts\catalog_db.php(67): has_column(Object(PDO), 'sku')
#2 {main}
  thrown in C:\xampp\htdocs\TechPrime-AI\TechPrime-AI\scripts\catalog_db.php on line 22
"
